"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"05-Feb-2020","    30761.95","    31065.85","    30630.85","    31001.95","      427604425","         6380.13"
"06-Feb-2020","    31070.75","    31470.65","    30917.25","    31304.05","      334000323","         7041.81"
"07-Feb-2020","    31367.05","    31368.20","    31111.05","    31201.95","      254381768","         4762.96"
"10-Feb-2020","    31248.65","    31248.80","    30957.20","    31058.15","      239696426","         4087.30"
"11-Feb-2020","    31230.20","    31505.95","    31225.90","    31300.60","      198887095","         4532.51"
"12-Feb-2020","    31441.15","    31588.60","    31398.15","    31492.90","      225958605","         5411.53"
"13-Feb-2020","    31586.55","    31649.45","    31180.60","    31230.25","      303030451","         5780.04"
"14-Feb-2020","    31281.85","    31436.65","    30776.10","    30834.80","      341366207","         6732.23"
"17-Feb-2020","    30873.85","    30998.15","    30630.50","    30680.70","      251931924","         5100.18"
"18-Feb-2020","    30661.50","    30692.75","    30252.45","    30562.50","      398866924","         6353.48"
"19-Feb-2020","    30905.00","    30947.15","    30606.15","    30838.20","      268822099","         5918.93"
"20-Feb-2020","    30862.30","    31085.30","    30702.45","    30942.85","      273065120","         6647.05"
"24-Feb-2020","    30666.35","    30702.15","    30428.00","    30455.10","      254235861","         6006.34"
"25-Feb-2020","    30517.00","    30610.70","    30329.95","    30432.70","      215913422","         5070.95"
"26-Feb-2020","    30279.95","    30515.35","    30131.75","    30306.85","      290964252","         5885.09"
"27-Feb-2020","    30270.00","    30271.95","    29914.15","    30187.00","      358020830","         7321.45"
"28-Feb-2020","    29501.55","    29564.10","    29051.50","    29147.15","      386879090","         9281.27"
"02-Mar-2020","    29701.00","    29791.15","    28571.70","    28868.40","      368259606","         8026.59"
"03-Mar-2020","    29012.55","    29285.35","    28749.55","    29177.05","      367320137","         7152.89"
"04-Mar-2020","    29252.95","    29273.65","    28125.15","    28653.70","      425845356","         8645.88"
"05-Mar-2020","    28830.30","    29134.30","    28535.60","    28815.35","     1075709340","        12062.92"
"06-Mar-2020","    27649.95","    28047.20","    27162.30","    27801.45","     1568142743","        12009.32"
